Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
6,0,0,2,1400,5,119,1242,82.47,10,3
7,0,0,2,1400,8,120,1172,82.68,11,3
8,0,0,2,1400,11,127,1047,82.71,22,3
9,0,0,2,1400,6,119,1066,82.73,19,3
10,0,0,2,1400,7,132,1002,82.79,21,3
11,0,0,2,1400,2,111,998,83.01,12,3
12,0,0,2,1400,13,128,1014,83.02,48,3
13,0,0,2,1400,12,123,1073,83.24,302,3
14,0,0,2,1400,9,125,1140,83.62,81,3
1,0,0,1,1600,9,127,1072,94.89,7.5,4
2,0,0,1,1600,7,112,1193,95.09,85,4
3,0,0,1,1600,1,120,1128,95.1,37,4
4,0,0,1,1600,8,121,1020,95.29,7.4,4
5,0,0,1,1600,3,133,1123,95.37,2.2,4
6,0,0,1,1600,11,122,1148,95.37,32,4
7,0,0,1,1600,4,130,1159,95.39,7.6,4
8,0,0,1,1600,5,127,1125,95.52,9.6,4
9,0,0,1,1600,2,126,1074,95.58,17,4
10,0,0,1,1600,6,129,1067,95.98,9.9,4
11,0,0,1,1600,10,119,1087,96.03,129,4
12,0,0,1,1600,12,125,1082,97.06,49,4
1,0,0,1,1200,4,131,1079,69.28,3.3,4
