Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
9,6,CLEAR CHOICE(A426),M L Yeung,C S Shum,125,1060,7,3-1/4,7 8 9 ,1:11.88,6.4,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
10,10,PEARL WARM WARM(T183),M Chadwick,P O'Sullivan,118,1112,5,3-1/2,12 12 10 ,1:11.90,27,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
11,1,ALL YOU NEED(A006),C Schofield,R Gibson,133,1171,1,4,5 6 11 ,1:11.99,5.5,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
12,5,CALIFORNIA ELITE(A413),C Murray,M J Freedman    ,127,1165,8,18-3/4,1 1 12 ,1:14.34,62,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"

1,9,FAITHFUL TRINITY(A247),M Chadwick,R Gibson,114,1063,5,-,2 2 2 1 ,1:39.89,9.6,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
2,2,FRIENDS OF KA YING(T370),Z Purton,C Fownes,132,1116,9,N,3 3 3 2 ,1:39.96,4.1,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
3,6,NAMJONG PLUS(B048),M L Yeung,Y S Tsui,119,1085,6,2-1/2,8 9 8 3 ,1:40.30,7.7,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
4,4,SUPER FORM(T232),K Teetan,A T Millard,128,1153,4,2-3/4,5 5 4 4 ,1:40.35,7.8,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
5,5,SLEEP EDUCATION(A362),N Callan,D E Ferraris,124,972,8,3-1/2,7 6 6 5 ,1:40.43,14,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
6,8,DYNAMIC EAGLE(B072),C Schofield,C S Shum,116,1162,3,4-1/4,4 4 5 6 ,1:40.58,9.7,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
7,3,BRAVE LEGEND(A260),C Y Ho,A S Cruz,126,1159,7,4-1/2,9 8 9 7 ,1:40.63,8,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
8,1,THUNDER STOMP(V279),C Wong,Y S Tsui,123,1203,1,4-3/4,1 1 1 8 ,1:40.66,4.3,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"
