
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,REGENCY LEGEND(B348),Z Purton,C S Shum,123,1085,6,-,5 6 1 ,1:08.54,1.5,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
2,11,COUNTRY STAR(B396),J Moreira,J Size,117,1095,11,1-1/2,1 1 2 ,1:08.77,6.6,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
3,7,MISSION TYCOON(B224),G van Niekerk,F C Lor,121,1258,1,3-1/4,3 3 3 ,1:09.06,10,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
4,8,MR GENUINE(S253),M F Poon,D J Hall,116,1066,2,3-3/4,6 5 4 ,1:09.13,181,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
5,3,NEW ASIA SUNRISE(T268),S de Sousa,Y S Tsui,129,1007,5,4-1/4,4 4 5 ,1:09.22,20,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
6,1,CALIFORNIA FORTUNE(A415),A Sanna,A S Cruz,133,1264,4,4-3/4,2 2 6 ,1:09.32,37,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
7,2,LIMITLESS(A115),C Y Ho,C Fownes,128,1126,9,6-1/2,11 7 7 ,1:09.57,26,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
8,6,HINCHINLOVE(C001),A Badel,W Y So,122,1156,10,6-1/2,8 9 8 ,1:09.60,20,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
9,9,SUMMER PASSAGE(B273),D Whyte,P O'Sullivan,119,1127,3,6-3/4,7 8 9 ,1:09.64,64,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
10,4,KING OF HEARTS(C145),K Teetan,A S Cruz,124,1062,8,7-3/4,9 10 10 ,1:09.80,34,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
11,10,LEAN PERFECTION(B040),U Rispoli,C H Yip,118,1155,7,20-1/2,10 11 11 ,1:11.84,12,20-21-308,Class 2,ST,1200M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,9,CONTE(A429),J Moreira,J Size,117,1311,11,-,5 5 5 1 ,1:20.85,1.7,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
2,11,MORETHANLUCKY(A039),A Badel,F C Lor,113,1213,12,3/4,4 4 4 2 ,1:20.98,12,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
3,8,RATTAN(A061),C Schofield,R Gibson,119,1152,6,1-1/4,6 6 7 3 ,1:21.05,8.2,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
4,10,WHAT ELSE BUT YOU(A136),U Rispoli,J Size,117,1144,8,1-3/4,11 11 12 4 ,1:21.12,33,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
5,2,WINNER'S WAY(A025),Z Purton,A S Cruz,133,1138,1,3,8 8 6 5 ,1:21.34,21,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
